gene	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6
gene_000	871	816	821	839	840	845
gene_001	2737	2777	2781	2757	2800	2748
gene_002	1359	1415	1415	1370	1403	1414
gene_003	3543	3560	3538	3567	3575	3595
gene_004	1841	1809	1862	1850	1848	1857
gene_005	381	388	402	405	406	386
gene_006	454	410	419	388	443	450
gene_007	1205	1168	1239	1190	1206	1172
gene_008	163	107	129	131	110	156
gene_009	3234	3264	3259	3302	3294	3236
gene_010	4676	4745	4701	4686	4754	4744
gene_011	197	204	217	223	222	159
gene_012	1255	1177	1185	1225	1223	1231
gene_013	1022	1054	994	1031	1027	997
gene_014	2221	2233	2285	2245	2296	2235
gene_015	4321	4314	4292	4304	4369	4297
gene_016	3901	3874	3851	3894	3833	3890
gene_017	1275	1292	1218	1255	1288	1282
gene_018	3041	3051	3042	3049	3026	2986
gene_019	1866	1824	1815	1875	1860	1818
gene_020	4655	4653	4652	4672	4631	4617
gene_021	294	300	333	323	304	322
gene_022	1271	1292	1271	1315	1324	1286
gene_023	700	719	668	727	695	651
gene_024	2341	2333	2289	2307	2299	2307
gene_025	4163	4190	4165	4164	4121	4144
gene_026	1975	1972	1937	1964	1982	1946
gene_027	4395	4447	4448	4431	4390	4375
gene_028	4879	4884	4902	4885	4908	4910
gene_029	618	629	625	635	595	628
gene_030	375	356	342	397	374	408
gene_031	2474	2478	2456	2436	2450	2421
gene_032	4685	4657	4628	4692	4676	4683
gene_033	2277	2235	2254	2272	2232	2260
gene_034	560	578	591	587	621	583
gene_035	4365	4389	4412	4366	4375	4379
gene_036	1040	1007	998	995	1048	1017
gene_037	3435	3472	3425	3421	3477	3454
gene_038	2239	2233	2177	2220	2217	2186
gene_039	3710	3731	3701	3695	3744	3686
