accession	resolved_version	feature_used	fetch_date	sha256	file	notes
staged	repo data/egfp_u55762.fasta	U55762.1 EGFP coding sequence	2026-08-18	0c99298f772d512378af5b9204758af1167dbc3d8449e5320049313e75aba0b3	data/egfp_u55762.fasta	sha256 verified at template build
staged	repo data/insulin_nm000207.fasta	NM_000207.5 INS (insulin) CDS	2026-08-18	665a66a257854471460a895ed4870e8d25390bd7b5d0c31356162e43d9bff7f5	data/insulin_nm000207.fasta	sha256 verified at template build
staged	repo data/il12b_nm002187.fasta	NM_002187.3 IL12B CDS	2026-08-18	607da12a6c7e0b3647affe1a82d5c6c85cf3a513c70a8067c5536110c0085c44	data/il12b_nm002187.fasta	sha256 verified at template build
staged	repo data/luc_m15077.fasta	M15077.1 firefly luciferase mRNA (CDS region)	2026-08-18	bda47a45efd106d0b28bf5e0401b14f227cd4e69e463d8e378d199b7012ef00a	data/luc_m15077.fasta	sha256 verified at template build
staged	repo data/rbd_nc045512_22517_23185.fasta	NC_045512.2 nt 22517-23185 spike RBD fragment	2026-08-18	6a6263262aea59758e813bf456489264734f1f7e6ac2e8399706ec5f778197d6	data/rbd_nc045512_22517_23185.fasta	sha256 verified at template build
staged	repo data/wt1_nm000378.fasta	NM_000378.5 WT1 isoform 1 CDS	2026-08-18	fccc8b13f7c44cae69e147d1ed68b477dc4bdb984ea4853a8d2f6f4f3a775230	data/wt1_nm000378.fasta	sha256 verified at template build
staged	repo data/constructs.tsv	GSE173083 PERSIST construct panel (233 rows)	2026-08-18	7e0fc06593b2fc602d33a373b5fb1af9547991318b479351c7342eb4701049a4	data/constructs.tsv	sha256 verified at template build
staged	repo data/samples.csv	GSE173083 PERSIST sample sheet (96 rows)	2026-08-18	6925391095e00acab7d860778b405dbb2b21b890bd61f03da03b9e31b3af59ba	data/samples.csv	sha256 verified at template build
staged	repo data/hsapiens_codon_usage.tsv	Kazusa CTG-OSD Homo sapiens [9606] codon usage	2026-08-18	c6aff889c44c63a8541149fab2275aed4d090c8322f634e64e7b3f2e1da6da8b	data/hsapiens_codon_usage.tsv	sha256 verified at template build
staged	repo data/glori/GSM6432590_293T-mRNA-1_35bp_m2.totalm6A.FDR.csv.gz	GLORI 293T mRNA rep1 per-site m6A (GSM6432590)	2026-08-18	1fae5354e18b660046ab5c1841fdfaf059e213e1cf2542f597b60d994da85911	data/glori/GSM6432590_293T-mRNA-1_35bp_m2.totalm6A.FDR.csv.gz	sha256 verified at template build
staged	repo data/glori/GSM6432591_293T-mRNA-2_35bp_m2.totalm6A.FDR.csv.gz	GLORI 293T mRNA rep2 per-site m6A (GSM6432591)	2026-08-18	7a9b0dd69d9d6e2db737387f87d18ef3fc8050a7ec575e8c0c566024f4dba638	data/glori/GSM6432591_293T-mRNA-2_35bp_m2.totalm6A.FDR.csv.gz	sha256 verified at template build
staged	repo data/glori/GSM6432592_293T-UN_expression.csv.gz	GLORI 293T unmodified control (GSM6432592)	2026-08-18	119da9bb7d4746ca4758255ce816bdbed2e592f36dc7cf1df652cd25e157defd	data/glori/GSM6432592_293T-UN_expression.csv.gz	sha256 verified at template build
staged	repo data/openvaccine/RYOS_FULL_23Jul2021.json	OpenVaccine RYOS full degradation dataset (23 Jul 2021 release)	2026-08-18	eeb1ed6dd7da82f07798b5365c68a255c22344e472c7c1bc34be33c8823c7a3b	data/openvaccine/RYOS_FULL_23Jul2021.json	sha256 verified at template build
staged	repo data/openvaccine/RYOS1_50C_0000.rdat	OpenVaccine RDAT sample (50C arm)	2026-08-18	5df4686b96a3a22e7a9bfb447ad26d1d8b9b6d8040d5513c4f5dae22139b1b02	data/openvaccine/RYOS1_50C_0000.rdat	sha256 verified at template build
staged	repo data/openvaccine/RYOS1_MG50_0000.rdat	OpenVaccine RDAT sample (Mg 50C arm)	2026-08-18	dabbc09f804005c50ba17c10711b77801bf9c4ba2580c609e365ce710e710812	data/openvaccine/RYOS1_MG50_0000.rdat	sha256 verified at template build
staged	repo data/openvaccine/RYOS1_MGPH_0000.rdat	OpenVaccine RDAT sample (Mg pH10 arm)	2026-08-18	68a935e3bf048d0286be11b023a1be6e44fe7d019901b203ab2df94481272045	data/openvaccine/RYOS1_MGPH_0000.rdat	sha256 verified at template build
